,0
  (0, 11)	0.19223245001204567
  (0, 10)	0.4250238183333667
  (0, 8)	0.22722622530495284
  (0, 7)	0.14201686466932503
  (0, 5)	0.2001059595240039
  (0, 4)	0.06782237826625076
  (0, 3)	0.14226932966577263
  (0, 2)	0.13270556321126112
  (0, 1)	0.19578331486771966
  (0, 0)	0.5064331669563135"
reuters-topics/grain/article380.txt,"  (0, 11)	0.69113197336265
  (0, 7)	0.5105922331195206
  (0, 3)	0.5114999187427799"
reuters-topics/grain/article419.txt,"  (0, 18)	0.10149736132178011
  (0, 16)	0.25348715319673626
  (0, 14)	0.0516334783652168
  (0, 13)	0.22522945729421087
  (0, 12)	0.05018964808081415
  (0, 11)	0.46708842113132765
  (0, 8)	0.08179506118237746
  (0, 7)	0.3834156285976795
  (0, 6)	0.27223834499148536
  (0, 5)	0.288130107873908
  (0, 4)	0.10986368354135723
  (0, 3)	0.15363889236953387
  (0, 2)	0.25079395280884165
  (0, 1)	0.31714423317426527
  (0, 0)	0.37599729907734364"
reuters-topics/grain/article431.txt,"  (0, 19)	0.3070887791433736
  (0, 17)	0.2388566566454915
  (0, 11)	0.23323485890054746
  (0, 10)	0.38675976776609383
  (0, 8)	0.3675902210695699
  (0, 7)	0.1723084910511862
  (0, 6)	0.08738927332745178
  (0, 4)	0.24686585679323128
  (0, 3)	0.0863074029082829
  (0, 2)	0.2415166896298467
  (0, 1)	0.23754310895685243
  (0, 0)	0.5376466600796859"
reuters-topics/grain/article357.txt,"  (0, 11)	0.8043120970923119
  (0, 7)	0.5942070770959963"
reuters-topics/grain/article343.txt,"  (0, 15)	0.23171304256697728
  (0, 8)	0.7537396911073111
  (0, 6)	0.17919074041814512
  (0, 5)	0.16594453822169267
  (0, 4)	0.33746380975144935
  (0, 1)	0.32471968205763235
  (0, 0)	0.31498244066776687"
reuters-topics/grain/article425.txt,"  (0, 18)	0.06175499717065162
  (0, 17)	0.19403009036516716
  (0, 15)	0.24478991025388033
  (0, 14)	0.06283168880116737
  (0, 13)	0.3425962093205343
  (0, 12)	0.12214944447276271
  (0, 11)	0.06315444778238775
  (0, 8)	0.09953468161358119
  (0, 7)	0.0933140753646463
  (0, 6)	0.18930347976681147
  (0, 5)	0.30679201004263273
  (0, 4)	0.22281799178155845
  (0, 3)	0.18695992171663697
  (0, 2)	0.26158788160061786
  (0, 1)	0.34304543649320096
  (0, 0)	0.5823276688474117"
reuters-topics/grain/article342.txt,"  (0, 19)	0.4010287810338319
  (0, 15)	0.5902889175708522
  (0, 8)	0.240018959153603
  (0, 7)	0.22501852500372344
  (0, 5)	0.21137183465916393
  (0, 2)	0.42053047943447863
  (0, 0)	0.40120884412852487"
reuters-topics/grain/article424.txt,"  (0, 18)	0.030821322864399748
  (0, 17)	0.09683854480679226
  (0, 16)	0.09237059118277947
  (0, 15)	0.12217228084446974
  (0, 14)	0.06271737852419808
  (0, 13)	0.10259187625327112
  (0, 12)	0.09144541263758503
  (0, 11)	0.031519775153498054
  (0, 8)	0.07451519792981269
  (0, 7)	0.04657215409886718
  (0, 6)	0.5904971193185564
  (0, 5)	0.2843600133026193
  (0, 4)	0.289136402012448
  (0, 3)	0.2566022027095506
  (0, 2)	0.282871303357353
  (0, 1)	0.40662533024629505
  (0, 0)	0.3321532769672694"
reuters-topics/grain/article430.txt,"  (0, 19)	0.5513891548060363
  (0, 17)	0.07147931313486368
  (0, 15)	0.06763415386124617
  (0, 14)	0.06944024945035869
  (0, 12)	0.13499697455615406
  (0, 10)	0.6944413340546083
  (0, 5)	0.1453114374510259
  (0, 4)	0.04925074345941159
  (0, 3)	0.15496810425913937
  (0, 2)	0.19273425133211136
  (0, 1)	0.14217245193510822
  (0, 0)	0.27581836507399105"
reuters-topics/grain/article356.txt,"  (0, 19)	0.4140995885039728
  (0, 16)	0.3072300337959282
  (0, 15)	0.3047641583658854
  (0, 14)	0.20860169970606005
  (0, 12)	0.10138427846418116
  (0, 11)	0.20967326205560996
  (0, 10)	0.23179263031736777
  (0, 7)	0.30980346221734767
  (0, 6)	0.07856112972825056
  (0, 5)	0.21826111713988272
  (0, 4)	0.0739757480621155
  (0, 3)	0.310354203357636
  (0, 2)	0.14474563649211414
  (0, 1)	0.21354628878632653
  (0, 0)	0.4142855204294194"
reuters-topics/grain/article418.txt,"  (0, 19)	0.4469199857238272
  (0, 15)	0.32891892937659595
  (0, 8)	0.26748521520535595
  (0, 7)	0.08358940865624702
  (0, 6)	0.16957533864470686
  (0, 5)	0.23555989444139985
  (0, 2)	0.6248711140076035
  (0, 0)	0.37260054508628604"
reuters-topics/grain/article381.txt,"  (0, 15)	0.0656536533479105
  (0, 14)	0.0674068618520643
  (0, 12)	0.06552195942828884
  (0, 10)	0.0749007023056175
  (0, 8)	0.16017364790832786
  (0, 6)	0.10154393230728691
  (0, 5)	0.14105634797277633
  (0, 4)	0.19123422434438667
  (0, 3)	0.45129072884766896
  (0, 2)	0.42095362707088485
  (0, 1)	0.4140278398744832
  (0, 0)	0.5801070164963559"
reuters-topics/grain/article395.txt,"  (0, 19)	0.24559709751217418
  (0, 18)	0.0364796700654315
  (0, 17)	0.11461669506238714
  (0, 16)	0.03644283001653997
  (0, 15)	0.07230066853320136
  (0, 14)	0.2598098238998571
  (0, 13)	0.040475418198610294
  (0, 12)	0.036077820720553606
  (0, 11)	0.33575713244867855
  (0, 10)	0.20620980608670086
  (0, 8)	0.0881951059433487
  (0, 7)	0.30317168824346874
  (0, 6)	0.16773691524221884
  (0, 5)	0.20711654242585398
  (0, 4)	0.18427104001511715
  (0, 3)	0.16566034909292474
  (0, 2)	0.2060322252148739
  (0, 1)	0.20264245670909256
  (0, 0)	0.6142684283167901"
reuters-topics/grain/article140.txt,"  (0, 11)	0.69113197336265
  (0, 7)	0.5105922331195206
  (0, 3)	0.5114999187427799"
reuters-topics/grain/article154.txt,"  (0, 19)	0.029387564327686678
  (0, 18)	0.04365070522250422
  (0, 17)	0.2971531553969552
  (0, 16)	0.10901655824138269
  (0, 15)	0.04325662984166342
  (0, 14)	0.06661762575050258
  (0, 13)	0.14529576709790532
  (0, 12)	0.06475479278671814
  (0, 10)	0.024674574751732663
  (0, 9)	0.06786386632309137
  (0, 8)	0.14070955373940305
  (0, 7)	0.11542619093309311
  (0, 6)	0.21743583521426157
  (0, 5)	0.20136246540016497
  (0, 4)	0.26774312961435986
  (0, 3)	0.346894156158729
  (0, 2)	0.169491615199062
  (0, 1)	0.3940253559639911
  (0, 0)	0.60271556831408"
reuters-topics/grain/article168.txt,"  (0, 19)	0.8487305203978968
  (0, 18)	0.16808781358958585
  (0, 12)	0.08311810377009754
  (0, 11)	0.08594845383009848
  (0, 10)	0.1425233097654499
  (0, 8)	0.06772960802884398
  (0, 6)	0.03220347489751977
  (0, 5)	0.029822918073403135
  (0, 4)	0.30323852953541697
  (0, 3)	0.06360959823095165
  (0, 2)	0.05933357230761809
  (0, 1)	0.17507213998008564
  (0, 0)	0.2830372009606583"
reuters-topics/grain/article183.txt,"  (0, 19)	0.01707874715665065
  (0, 18)	0.0887874790462988
  (0, 17)	0.10627213294893306
  (0, 16)	0.126711163492971
  (0, 15)	0.025138832047356438
  (0, 14)	0.09033547904570895
  (0, 13)	0.16887889323028227
  (0, 12)	0.08780942222111045
  (0, 11)	0.15565632301086935
  (0, 10)	0.014339766939640439
  (0, 9)	0.013146488325027883
  (0, 8)	0.17377005409818055
  (0, 7)	0.14374409054359827
  (0, 6)	0.28188903494463924
  (0, 5)	0.11702292150048164
  (0, 4)	0.33865972738583655
  (0, 3)	0.2303994016786209
  (0, 2)	0.3581854505011515
  (0, 1)	0.3699069820261048
  (0, 0)	0.5638517136132116"
reuters-topics/grain/article197.txt,"  (0, 11)	0.8043120970923119
  (0, 7)	0.5942070770959963"
reuters-topics/grain/article034.txt,"  (0, 19)	0.6246854260789868
  (0, 15)	0.45974865324110414
  (0, 10)	0.5245023735288672
  (0, 3)	0.3511360910673956"
reuters-topics/grain/article020.txt,"  (0, 19)	0.7643296817010404
  (0, 11)	0.3870071405459648
  (0, 8)	0.30497165179209706
  (0, 7)	0.2859118775291827
  (0, 5)	0.13428609511858972
  (0, 4)	0.13654169562008786
  (0, 3)	0.1432100731637446
  (0, 2)	0.13358306714010498
  (0, 0)	0.12744547799364697"
reuters-topics/grain/article008.txt,"  (0, 19)	0.46771890803663396
  (0, 18)	0.4631496496056794
  (0, 17)	0.12126544744394767
  (0, 8)	0.27993353792216213
  (0, 6)	0.17746709647005202
  (0, 5)	0.2465224651498112
  (0, 4)	0.16710886494625846
  (0, 2)	0.49046369223216224
  (0, 1)	0.2411971414104849
  (0, 0)	0.23396445759662673"
reuters-topics/grain/article236.txt,"  (0, 17)	0.2842268664342646
  (0, 15)	0.13446858099800893
  (0, 12)	0.13419885199444914
  (0, 11)	0.13876861130759643
  (0, 8)	0.10935326037568747
  (0, 7)	0.10251902366736823
  (0, 5)	0.1926031122964591
  (0, 4)	0.09791913120803877
  (0, 2)	0.2873921658668745
  (0, 1)	0.1884425424856828
  (0, 0)	0.8225630553635566"
reuters-topics/grain/article550.txt,"  (0, 19)	0.13596341435006312
  (0, 17)	0.21150734760386297
  (0, 16)	0.10087439240567835
  (0, 14)	0.10273687822436839
  (0, 12)	0.09986404027500305
  (0, 10)	0.4566338868336584
  (0, 8)	0.08137519983265021
  (0, 7)	0.07628950439080898
  (0, 6)	0.3869156018111588
  (0, 5)	0.1433255551564637
  (0, 4)	0.29146598252740236
  (0, 3)	0.22927537533277376
  (0, 2)	0.2851504057877438
  (0, 0)	0.5440978492818404"
reuters-topics/grain/article544.txt,"  (0, 11)	0.69113197336265
  (0, 7)	0.5105922331195206
  (0, 3)	0.5114999187427799"
reuters-topics/grain/article222.txt,"  (0, 19)	0.16300181379927506
  (0, 18)	0.06052852871326888
  (0, 17)	0.06339220270413762
  (0, 14)	0.18475151100057144
  (0, 13)	0.26863373580099514
  (0, 12)	0.05986176419576578
  (0, 11)	0.309500929568787
  (0, 10)	0.0684303128086904
  (0, 8)	0.24389474981940779
  (0, 7)	0.22865209087667795
  (0, 6)	0.18554386908842052
  (0, 5)	0.1288710214764519
  (0, 3)	0.09162342732025872
  (0, 2)	0.2136605717206489
  (0, 1)	0.33623247516886695
  (0, 0)	0.6523000083601784"
reuters-topics/grain/article578.txt,"  (0, 19)	0.6725958169261101
  (0, 15)	0.1237522951945257
  (0, 14)	0.12705696394150107
  (0, 8)	0.40255401992220874
  (0, 7)	0.0943489132240235
  (0, 6)	0.19140282444776152
  (0, 5)	0.1772538761946831
  (0, 4)	0.18023120554277486
  (0, 2)	0.35265179799364593
  (0, 1)	0.34684975437110427"
reuters-topics/grain/article208.txt,"  (0, 19)	0.1348620002424679
  (0, 18)	0.10015837571055786
  (0, 17)	0.15734547470098156
  (0, 16)	0.15008584182117238
  (0, 14)	0.20380925210265924
  (0, 12)	0.14858259063470297
  (0, 10)	0.11323369534969925
  (0, 8)	0.04035799730398817
  (0, 7)	0.11350724614595109
  (0, 6)	0.153512508448555
  (0, 5)	0.31987012888714816
  (0, 4)	0.2529667623816958
  (0, 3)	0.34112708780734696
  (0, 2)	0.35355056981978356
  (0, 1)	0.38250711295724615
  (0, 0)	0.5059595762801689"
reuters-topics/grain/article552.txt,"  (0, 17)	0.12762529720956245
  (0, 14)	0.24796915599027003
  (0, 13)	0.13520771841660317
  (0, 12)	0.2410351784944269
  (0, 11)	0.12462147216182508
  (0, 8)	0.09820494826100158
  (0, 7)	0.27620233856129317
  (0, 6)	0.09338724017976192
  (0, 5)	0.172967670218518
  (0, 4)	0.17587300426180308
  (0, 3)	0.36892446213557833
  (0, 2)	0.17206213259431685
  (0, 1)	0.42307815220597916
  (0, 0)	0.5745480636802146"
reuters-topics/grain/article234.txt,"  (0, 19)	0.12976172254574353
  (0, 17)	0.10092993724582004
  (0, 14)	0.3922029864016913
  (0, 12)	0.09530894725177873
  (0, 11)	0.29566326519392333
  (0, 8)	0.07766343728027958
  (0, 7)	0.2184291461618735
  (0, 5)	0.13678805442501796
  (0, 4)	0.1390856802803796
  (0, 3)	0.0729391500468959
  (0, 2)	0.3401798198481529
  (0, 0)	0.7140099226611774"
reuters-topics/grain/article220.txt,"  (0, 19)	0.07786672154375464
  (0, 18)	0.038553011412688354
  (0, 17)	0.10094249630225663
  (0, 16)	0.05777111631019251
  (0, 15)	0.03820495763950023
  (0, 14)	0.05883776843360664
  (0, 13)	0.21387930002457095
  (0, 12)	0.03812832274770124
  (0, 11)	0.19713337038848858
  (0, 10)	0.08717193980328611
  (0, 8)	0.015534620241349316
  (0, 7)	0.18932881590631703
  (0, 6)	0.22158791444876486
  (0, 5)	0.05472203017172526
  (0, 4)	0.04173089615582966
  (0, 3)	0.13130680700553207
  (0, 2)	0.40826657950048345
  (0, 1)	0.3881645431439171
  (0, 0)	0.6751479273872121"
reuters-topics/grain/article546.txt,"  (0, 19)	0.06895455461180428
  (0, 18)	0.102421381491396
  (0, 17)	0.2681676357729256
  (0, 16)	0.10231794829984266
  (0, 15)	0.1014967287346599
  (0, 14)	0.052103543545390575
  (0, 13)	0.11363996003549441
  (0, 12)	0.1519397063941471
  (0, 11)	0.41896954646918216
  (0, 10)	0.05789606424233148
  (0, 8)	0.041269856951811394
  (0, 7)	0.3095249599001308
  (0, 6)	0.19622626515214667
  (0, 5)	0.10903245407096845
  (0, 4)	0.14781849298020092
  (0, 3)	0.11627820222888019
  (0, 2)	0.14461551530211333
  (0, 1)	0.35559053041955896
  (0, 0)	0.5863768809709328"
reuters-topics/grain/article036.txt,"  (0, 15)	0.896200841165569
  (0, 12)	0.09582891021954987
  (0, 11)	0.06606139370371224
  (0, 10)	0.14606100996276228
  (0, 9)	0.03347664871925358
  (0, 8)	0.026029044747194172
  (0, 7)	0.048804621742578935
  (0, 3)	0.3911310581923043
  (0, 2)	0.022802379248203546
  (0, 0)	0.06526411284519561"
reuters-topics/grain/article022.txt,"  (0, 19)	0.351569863744007
  (0, 16)	0.13041889453443023
  (0, 14)	0.398480618313581
  (0, 11)	0.13350918876416318
  (0, 8)	0.21041739834251888
  (0, 7)	0.19726696914744027
  (0, 6)	0.20009480647338046
  (0, 5)	0.2779549896102365
  (0, 4)	0.37683172437602297
  (0, 3)	0.1976176528833543
  (0, 2)	0.18433320792318508
  (0, 1)	0.2719506674332046
  (0, 0)	0.4396596495503661"
reuters-topics/grain/article181.txt,"  (0, 19)	0.7440716288079008
  (0, 18)	0.18420065355627788
  (0, 12)	0.09108577659409256
  (0, 11)	0.18837488607367545
  (0, 10)	0.31237109038612965
  (0, 8)	0.1484442898934411
  (0, 5)	0.06536346547393655
  (0, 4)	0.3323068706233036
  (0, 3)	0.06970719242741992
  (0, 2)	0.1300425362611661
  (0, 1)	0.127902996714038
  (0, 0)	0.3101690496432454"
reuters-topics/grain/article195.txt,"  (0, 17)	0.25398011718119684
  (0, 16)	0.16150795890558964
  (0, 11)	0.08266745646562954
  (0, 8)	0.19543229134383358
  (0, 7)	0.061072794820546505
  (0, 6)	0.06194827807828312
  (0, 5)	0.22947566097089986
  (0, 4)	0.349995237684548
  (0, 3)	0.5506322816060621
  (0, 2)	0.05706857176728667
  (0, 1)	0.28064822315395893
  (0, 0)	0.5444650705368494"
reuters-topics/grain/article142.txt,"  (0, 18)	0.17462474001348563
  (0, 13)	0.19375200946697005
  (0, 12)	0.17270112510008245
  (0, 11)	0.35716393911311867
  (0, 8)	0.14072721800201876
  (0, 7)	0.26386441416427037
  (0, 6)	0.5352938620753043
  (0, 4)	0.2520251682801336
  (0, 3)	0.13216674446802856
  (0, 2)	0.24656420752994074
  (0, 1)	0.3637613729960629
  (0, 0)	0.35285340377557417"
reuters-topics/grain/article156.txt,"  (0, 19)	0.5048861482162242
  (0, 15)	0.22294811147377175
  (0, 11)	0.15338502418556105
  (0, 8)	0.48348548938967695
  (0, 7)	0.16997593450557116
  (0, 6)	0.22988340364002655
  (0, 5)	0.053222470051823435
  (0, 4)	0.32469868006278674
  (0, 2)	0.4764945101437887
  (0, 1)	0.10414554006267844
  (0, 0)	0.10102256871446116"
reuters-topics/grain/article383.txt,"  (0, 19)	0.6246854260789868
  (0, 15)	0.45974865324110414
  (0, 10)	0.5245023735288672
  (0, 3)	0.3511360910673956"
reuters-topics/grain/article397.txt,"  (0, 19)	0.44448938475956995
  (0, 18)	0.11003676528120737
  (0, 11)	0.337591035486151
  (0, 8)	0.17735365395269392
  (0, 7)	0.24940440803417827
  (0, 6)	0.16865309306431167
  (0, 5)	0.15618585861584702
  (0, 4)	0.07940465447466438
  (0, 2)	0.6214727152320744
  (0, 0)	0.370574134826958"
reuters-topics/grain/article368.txt,"  (0, 17)	0.11961592527152098
  (0, 13)	0.38016749098802055
  (0, 12)	0.16943141286826044
  (0, 11)	0.4088021387249405
  (0, 8)	0.18408381424872253
  (0, 7)	0.3451583033721789
  (0, 6)	0.2625796308465486
  (0, 5)	0.2026409376472851
  (0, 4)	0.2060446928922166
  (0, 3)	0.08644297380397989
  (0, 2)	0.16126404125559415
  (0, 1)	0.3568743593181825
  (0, 0)	0.42310022121657936"
reuters-topics/grain/article426.txt,"  (0, 13)	0.1337927920937213
  (0, 12)	0.23851278537378082
  (0, 11)	0.24663465829644649
  (0, 8)	0.2915317493511981
  (0, 7)	0.18220795129988118
  (0, 6)	0.36963983287045854
  (0, 5)	0.1711575922698195
  (0, 4)	0.6091138286616359
  (0, 3)	0.09126593222419944
  (0, 2)	0.17026153094649707
  (0, 1)	0.08373014191849482
  (0, 0)	0.40609679542407795"
reuters-topics/grain/article340.txt,"  (0, 19)	0.508153362191359
  (0, 16)	0.12567023245429443
  (0, 15)	0.3739847516114077
  (0, 8)	0.40551184637056226
  (0, 7)	0.09504215611093184
  (0, 6)	0.19280918560284466
  (0, 5)	0.17855627581593922
  (0, 4)	0.2723332223115038
  (0, 2)	0.4440537004137255
  (0, 1)	0.08734957132919864
  (0, 0)	0.25419076226803194"
reuters-topics/grain/article354.txt,"  (0, 19)	0.222549432795755
  (0, 12)	0.16346077822577162
  (0, 8)	0.1331976300607599
  (0, 6)	0.25332652356376084
  (0, 5)	0.11730001470499585
  (0, 4)	0.2385406007961903
  (0, 3)	0.25019036666716343
  (0, 2)	0.1166859139513664
  (0, 1)	0.8033628802122239
  (0, 0)	0.22264935814148223"
reuters-topics/grain/article432.txt,"  (0, 18)	0.1261864053541822
  (0, 17)	0.1321564286588256
  (0, 16)	0.12605897236659336
  (0, 14)	0.12838645154889378
  (0, 10)	0.4279787750085173
  (0, 7)	0.19067230635077886
  (0, 6)	0.38681121734654356
  (0, 5)	0.2686629148292882
  (0, 3)	0.4775281666989832
  (0, 2)	0.08908546130062402
  (0, 1)	0.4380988633257259
  (0, 0)	0.2549770590123084"
reuters-topics/grain/article355.txt,"  (0, 19)	0.30733294155413576
  (0, 18)	0.11412394956721413
  (0, 14)	0.1161136881627948
  (0, 10)	0.2580448503826159
  (0, 8)	0.09197062185321768
  (0, 6)	0.0874587554352315
  (0, 5)	0.3239743917632433
  (0, 4)	0.16470809114590193
  (0, 3)	0.5182561490073171
  (0, 2)	0.1611391443334662
  (0, 1)	0.39621996080564237
  (0, 0)	0.4612064024146137"
reuters-topics/grain/article433.txt,"  (0, 15)	0.14724688992937285
  (0, 13)	0.16486374384212657
  (0, 8)	0.23948981054831425
  (0, 7)	0.11226122326552446
  (0, 6)	0.3416114898636321
  (0, 5)	0.2109058418396732
  (0, 4)	0.3216726337399975
  (0, 3)	0.44984316527853996
  (0, 2)	0.1049008432549517
  (0, 1)	0.20634990051550672
  (0, 0)	0.6004865016256333"
reuters-topics/grain/article427.txt,"  (0, 19)	0.49833683902183495
  (0, 11)	0.3154069502268627
  (0, 10)	0.06973612743629036
  (0, 8)	0.04970976941753331
  (0, 7)	0.27961838594884103
  (0, 4)	0.08902409342335434
  (0, 3)	0.23342955561295536
  (0, 2)	0.43547545659413095
  (0, 1)	0.2569864484122783
  (0, 0)	0.4985605937189479"
reuters-topics/grain/article341.txt,"  (0, 17)	0.10375641445666431
  (0, 15)	0.09817494029654464
  (0, 13)	0.10992074750460938
  (0, 7)	0.07484870408465864
  (0, 6)	0.45552999643064973
  (0, 5)	0.21092807230835808
  (0, 4)	0.2144710263666961
  (0, 3)	0.6748358712990659
  (0, 2)	0.2797650674605575
  (0, 1)	0.13758110051101766
  (0, 0)	0.33363877540556913"
reuters-topics/grain/article369.txt,"  (0, 18)	0.19162729238750872
  (0, 14)	0.09748414664995127
  (0, 13)	0.2126169119331382
  (0, 12)	0.09475819117225164
  (0, 11)	0.5879094673419563
  (0, 7)	0.4343338455920721
  (0, 6)	0.14685335166887215
  (0, 5)	0.13599760552432616
  (0, 4)	0.1382819542273867
  (0, 3)	0.14503532193733928
  (0, 2)	0.20292842591341373
  (0, 1)	0.19958972301695335
  (0, 0)	0.45174431048549696"
reuters-topics/grain/article396.txt,"  (0, 19)	0.12426679645578514
  (0, 18)	0.1845792063796871
  (0, 17)	0.19331185995315536
  (0, 16)	0.09219640186736464
  (0, 14)	0.1877973246823578
  (0, 13)	0.10239841198652935
  (0, 10)	0.20867536513857016
  (0, 9)	0.09565525935890597
  (0, 8)	0.07437467970697584
  (0, 7)	0.2789059794993589
  (0, 6)	0.07072602959505271
  (0, 5)	0.3274889733146146
  (0, 4)	0.26639183855198123
  (0, 3)	0.279401793833012
  (0, 2)	0.19546468219794483
  (0, 1)	0.19224877738977153
  (0, 0)	0.6216129630528209"
reuters-topics/grain/article382.txt,"  (0, 19)	0.5803760052162701
  (0, 10)	0.48729901413875093
  (0, 3)	0.6524594726024027"
reuters-topics/grain/article157.txt,"  (0, 19)	0.3337958422423803
  (0, 17)	0.43271611932867593
  (0, 16)	0.08255027755002865
  (0, 12)	0.08172345870312957
  (0, 10)	0.28026380034045906
  (0, 8)	0.19977950315256165
  (0, 7)	0.06243130304357505
  (0, 6)	0.1266525212444287
  (0, 5)	0.23458013626681343
  (0, 4)	0.2981504668854202
  (0, 3)	0.06254228788145198
  (0, 2)	0.11667601945306237
  (0, 1)	0.11475639403665266
  (0, 0)	0.61223381551029"
reuters-topics/grain/article143.txt,"  (0, 11)	0.7059066152114106
  (0, 7)	0.5215073950073377
  (0, 1)	0.4792972851513247"
reuters-topics/grain/article194.txt,"  (0, 19)	0.5830317909243272
  (0, 18)	0.10825050247958858
  (0, 16)	0.10814118258177352
  (0, 15)	0.10727322484401763
  (0, 8)	0.08723730703963643
  (0, 6)	0.08295764612078495
  (0, 5)	0.23047566373153255
  (0, 2)	0.611384145374508
  (0, 1)	0.2254969794454548
  (0, 0)	0.3645584836889786"
reuters-topics/grain/article180.txt,"  (0, 18)	0.15697658370045975
  (0, 8)	0.12650485786791005
  (0, 5)	0.11140604890184784
  (0, 4)	0.7929413364929141
  (0, 3)	0.35642860267910276
